lead,model_rmse,model_corr,pers_rmse,pers_corr,clim_rmse,clim_corr,beats_persistence,beats_climatology,n_test
1,0.4079983576386251,0.842514174376831,0.20337749340402253,0.9648411087402414,0.752294051924454,,False,True,125
3,0.5547578793860487,0.6826838463737386,0.5543515974779939,0.7263911108209706,0.7156956916775348,,False,True,123
6,0.7035769599471665,0.37687169402742055,0.900764503554932,0.281225659889815,0.7155300660444068,,True,True,120
9,0.7441829158750377,0.11494839798939051,1.0623425759770342,0.011822193214672675,0.7227080043096629,,True,False,117
