lead,model_rmse,model_corr,pers_rmse,pers_corr,clim_rmse,clim_corr,beats_persistence,n_test
1,0.5351962053739627,0.7967537947267412,0.20337749340402253,0.9648411087402414,0.752294051924454,,False,125
3,0.5729711824547009,0.6428427995838443,0.5543515974779939,0.7263911108209706,0.7156956916775348,,False,123
6,0.7467727766749117,0.336157105431055,0.900764503554932,0.281225659889815,0.7155300660444068,,True,120
9,0.8305006679598829,0.18411381765296314,1.0623425759770342,0.011822193214672675,0.7227080043096629,,True,117
